Position,Name + ID,Name,ID,Roster Position,Salary,Game Info,TeamAbbrev,AvgPointsPerGame
SP,Kevin Gausman (13361186),Kevin Gausman,13361186,P,8300,CIN@CHC 09/16/2019 08:05PM ET,CIN,8.59
SP,Ross Detwiler (13361189),Ross Detwiler,13361189,P,8300,CWS@MIN 09/16/2019 07:40PM ET,CWS,4.79
SP,Brent Suter (13361183),Brent Suter,13361183,P,8300,SD@MIL 09/16/2019 07:40PM ET,MIL,8.9
RP,Austin Gomber (13361187),Austin Gomber,13361187,P,8300,WAS@STL 09/16/2019 07:45PM ET,STL,0
SP,Jharel Cotton (13361181),Jharel Cotton,13361181,P,8300,KC@OAK 09/16/2019 10:07PM ET,OAK,0
SP,Jakob Junis (13361185),Jakob Junis,13361185,P,8300,KC@OAK 09/16/2019 10:07PM ET,KC,12.84
RP,Josh Staumont (13361188),Josh Staumont,13361188,P,8300,KC@OAK 09/16/2019 10:07PM ET,KC,2.67
SP,Kyle Gibson (13361191),Kyle Gibson,13361191,P,8200,CWS@MIN 09/16/2019 07:40PM ET,MIN,13.48
SP,Jordan Lyles (13361190),Jordan Lyles,13361190,P,8200,SD@MIL 09/16/2019 07:40PM ET,MIL,14.30
SP,Chris Flexen (13361192),Chris Flexen,13361192,P,8200,NYM@COL 09/16/2019 08:40PM ET,NYM,1.55
SP,Brett Kennedy (13361195),Brett Kennedy,13361195,P,8100,SD@MIL 09/16/2019 07:40PM ET,SD,0
SP,Sandy Alcantara (13361193),Sandy Alcantara,13361193,P,8100,MIA@ARI 09/16/2019 09:40PM ET,MIA,13.92
SP,Dakota Hudson (13360576),Dakota Hudson,13360576,P,8100,WAS@STL 09/16/2019 07:45PM ET,STL,13.50
SP,Grant Holmes (13361194),Grant Holmes,13361194,P,8100,KC@OAK 09/16/2019 10:07PM ET,OAK,0
SP,Joel Payamps (13361197),Joel Payamps,13361197,P,8000,MIA@ARI 09/16/2019 09:40PM ET,ARI,3.4
SP,Jon Gray (13361196),Jon Gray,13361196,P,8000,NYM@COL 09/16/2019 08:40PM ET,COL,15.9
RP,Ryan Helsley (13361198),Ryan Helsley,13361198,P,7900,WAS@STL 09/16/2019 07:45PM ET,STL,5.30
SP,Pedro Avila (13361200),Pedro Avila,13361200,P,7800,SD@MIL 09/16/2019 07:40PM ET,SD,15.8
SP,Adam Wainwright (13361199),Adam Wainwright,13361199,P,7800,WAS@STL 09/16/2019 07:45PM ET,STL,14.58
SP,Lucas Sims (13361203),Lucas Sims,13361203,P,7700,CIN@CHC 09/16/2019 08:05PM ET,CIN,6.2
SP,Jimmy Nelson (13361201),Jimmy Nelson,13361201,P,7700,SD@MIL 09/16/2019 07:40PM ET,MIL,2.96
SP,Trey Supak (13361202),Trey Supak,13361202,P,7700,SD@MIL 09/16/2019 07:40PM ET,MIL,0
SP,Archie Bradley (13361204),Archie Bradley,13361204,P,7700,MIA@ARI 09/16/2019 09:40PM ET,ARI,3.43
SP,Stephen Gonsalves (13361206),Stephen Gonsalves,13361206,P,7600,CWS@MIN 09/16/2019 07:40PM ET,MIN,0
SP,Martin Perez (13361208),Martin Perez,13361208,P,7600,CWS@MIN 09/16/2019 07:40PM ET,MIN,11.40
SP,Garrett Richards (13360577),Garrett Richards,13360577,P,7600,SD@MIL 09/16/2019 07:40PM ET,SD,0
SP,Jacob Nix (13361205),Jacob Nix,13361205,P,7600,SD@MIL 09/16/2019 07:40PM ET,SD,0
SP,Eric Lauer (13361207),Eric Lauer,13361207,P,7600,SD@MIL 09/16/2019 07:40PM ET,SD,11.60
RP,Matt Andriese (13361209),Matt Andriese,13361209,P,7600,MIA@ARI 09/16/2019 09:40PM ET,ARI,3.64
SP,Jaime Garcia (13361210),Jaime Garcia,13361210,P,7500,CIN@CHC 09/16/2019 08:05PM ET,CHC,0
SP,Daniel Ponce de Leon (13361212),Daniel Ponce de Leon,13361212,P,7500,WAS@STL 09/16/2019 07:45PM ET,STL,10.78
SP,Brad Keller (13361211),Brad Keller,13361211,P,7500,KC@OAK 09/16/2019 10:07PM ET,KC,12.51
SP,Drew Pomeranz (13361219),Drew Pomeranz,13361219,P,7400,SD@MIL 09/16/2019 07:40PM ET,MIL,6.84
SP,Nick Neidert (13361215),Nick Neidert,13361215,P,7400,MIA@ARI 09/16/2019 09:40PM ET,MIA,0
SP,Jordan Yamamoto (13361218),Jordan Yamamoto,13361218,P,7400,MIA@ARI 09/16/2019 09:40PM ET,MIA,13.18
SP,Miles Mikolas (13361213),Miles Mikolas,13361213,P,7400,WAS@STL 09/16/2019 07:45PM ET,STL,13.47
SP,Austin Voth (13361214),Austin Voth,13361214,P,7400,WAS@STL 09/16/2019 07:45PM ET,WAS,14.13
SP,Kyle Zimmer (13361216),Kyle Zimmer,13361216,P,7400,KC@OAK 09/16/2019 10:07PM ET,KC,-0.27
SP,Daniel Gossett (13361217),Daniel Gossett,13361217,P,7400,KC@OAK 09/16/2019 10:07PM ET,OAK,0
SP,Kodi Medeiros (13361222),Kodi Medeiros,13361222,P,7300,CWS@MIN 09/16/2019 07:40PM ET,CWS,0
SP,Joey Lucchesi (13361221),Joey Lucchesi,13361221,P,7300,SD@MIL 09/16/2019 07:40PM ET,SD,14.94
SP,Merrill Kelly (13361220),Merrill Kelly,13361220,P,7300,MIA@ARI 09/16/2019 09:40PM ET,ARI,13.48
SP,Corey Oswalt (13361223),Corey Oswalt,13361223,P,7300,NYM@COL 09/16/2019 08:40PM ET,NYM,-1
SP,Franklyn Kilome (13361224),Franklyn Kilome,13361224,P,7300,NYM@COL 09/16/2019 08:40PM ET,NYM,0
SP,Devin Smeltzer (13361226),Devin Smeltzer,13361226,P,7200,CWS@MIN 09/16/2019 07:40PM ET,MIN,11.06
SP,J.B. Bukauskas (13361225),J.B. Bukauskas,13361225,P,7200,MIA@ARI 09/16/2019 09:40PM ET,ARI,0
SP,Wei-Yin Chen (13361227),Wei-Yin Chen,13361227,P,7200,MIA@ARI 09/16/2019 09:40PM ET,MIA,2.34
SP,Steven Matz (13360578),Steven Matz,13360578,P,7200,NYM@COL 09/16/2019 08:40PM ET,NYM,12.36
SP,Jake Faria (13361229),Jake Faria,13361229,P,7100,SD@MIL 09/16/2019 07:40PM ET,MIL,2.38
SP,Corbin Martin (13361228),Corbin Martin,13361228,P,7100,MIA@ARI 09/16/2019 09:40PM ET,ARI,8.1
SP,Rico Garcia (13361230),Rico Garcia,13361230,P,7100,NYM@COL 09/16/2019 08:40PM ET,COL,-3.95
SP,Chi Chi Gonzalez (13361232),Chi Chi Gonzalez,13361232,P,7100,NYM@COL 09/16/2019 08:40PM ET,COL,5.17
RP,Drew Gagnon (13361233),Drew Gagnon,13361233,P,7100,NYM@COL 09/16/2019 08:40PM ET,NYM,1.55
SP,Michael Wacha (13361231),Michael Wacha,13361231,P,7100,WAS@STL 09/16/2019 07:45PM ET,STL,9.46
SP,Vladimir Gutierrez (13361235),Vladimir Gutierrez,13361235,P,7000,CIN@CHC 09/16/2019 08:05PM ET,CIN,0
SP,Michael Kopech (13361234),Michael Kopech,13361234,P,7000,CWS@MIN 09/16/2019 07:40PM ET,CWS,0
SP,Zack Brown (13361237),Zack Brown,13361237,P,7000,SD@MIL 09/16/2019 07:40PM ET,MIL,0
SP,Dietrich Enns (13361238),Dietrich Enns,13361238,P,7000,SD@MIL 09/16/2019 07:40PM ET,SD,0
SP,Robert Dugger (13361239),Robert Dugger,13361239,P,7000,MIA@ARI 09/16/2019 09:40PM ET,MIA,9.66
RP,Bo Takahashi (13361240),Bo Takahashi,13361240,P,7000,MIA@ARI 09/16/2019 09:40PM ET,ARI,0
SP,James Bourque (13361236),James Bourque,13361236,P,7000,WAS@STL 09/16/2019 07:45PM ET,WAS,-9.5
SP,Alec Mills (13361241),Alec Mills,13361241,P,6900,CIN@CHC 09/16/2019 08:05PM ET,CHC,10.19
SP,Justin Steele (13361242),Justin Steele,13361242,P,6900,CIN@CHC 09/16/2019 08:05PM ET,CHC,0
SP,Tony Santillan (13361243),Tony Santillan,13361243,P,6900,CIN@CHC 09/16/2019 08:05PM ET,CIN,0
SP,Brandon Finnegan (13361244),Brandon Finnegan,13361244,P,6900,CIN@CHC 09/16/2019 08:05PM ET,CIN,0
SP,Fernando Romero (13361247),Fernando Romero,13361247,P,6900,CWS@MIN 09/16/2019 07:40PM ET,MIN,1.43
SP,Chase Anderson (13361248),Chase Anderson,13361248,P,6900,SD@MIL 09/16/2019 07:40PM ET,MIL,10.2
RP,Adam Conley (13361249),Adam Conley,13361249,P,6900,MIA@ARI 09/16/2019 09:40PM ET,MIA,1.68
SP,Williams Perez (13361245),Williams Perez,13361245,P,6900,WAS@STL 09/16/2019 07:45PM ET,STL,0
SP,Jesse Hahn (13361246),Jesse Hahn,13361246,P,6900,KC@OAK 09/16/2019 10:07PM ET,KC,2.33
SP,Reynaldo Lopez (13360579),Reynaldo Lopez,13360579,P,6800,CWS@MIN 09/16/2019 07:40PM ET,CWS,12.54
SP,Corbin Burnes (13361250),Corbin Burnes,13361250,P,6800,SD@MIL 09/16/2019 07:40PM ET,MIL,3.26
SP,Robbie Erlin (13361251),Robbie Erlin,13361251,P,6800,SD@MIL 09/16/2019 07:40PM ET,SD,2.76
SP,Ronald Bolanos (13361252),Ronald Bolanos,13361252,P,6800,SD@MIL 09/16/2019 07:40PM ET,SD,9.58
SP,Sal Romano (13361253),Sal Romano,13361253,P,6700,CIN@CHC 09/16/2019 08:05PM ET,CIN,2.62
SP,James Shields (13361257),James Shields,13361257,P,6700,CWS@MIN 09/16/2019 07:40PM ET,CWS,0
SP,Gio Gonzalez (13361255),Gio Gonzalez,13361255,P,6700,SD@MIL 09/16/2019 07:40PM ET,MIL,11.37
SP,Phil Hughes (13361256),Phil Hughes,13361256,P,6700,SD@MIL 09/16/2019 07:40PM ET,SD,0
SP,Genesis Cabrera (13361254),Genesis Cabrera,13361254,P,6700,WAS@STL 09/16/2019 07:45PM ET,STL,3.76
SP,Mike Leake (13361258),Mike Leake,13361258,P,6600,MIA@ARI 09/16/2019 09:40PM ET,ARI,12.32
SP,Jordan Holloway (13361259),Jordan Holloway,13361259,P,6600,MIA@ARI 09/16/2019 09:40PM ET,MIA,0
SP,Zack Littell (13361260),Zack Littell,13361260,P,6500,CWS@MIN 09/16/2019 07:40PM ET,MIN,4.17
SP,Walker Lockett (13361262),Walker Lockett,13361262,P,6500,NYM@COL 09/16/2019 08:40PM ET,NYM,5.13
SP,Daniel Hudson (13361263),Daniel Hudson,13361263,P,6500,WAS@STL 09/16/2019 07:45PM ET,WAS,3.43
SP,Eric Skoglund (13361261),Eric Skoglund,13361261,P,6500,KC@OAK 09/16/2019 10:07PM ET,KC,-1.52
SP,Adbert Alzolay (13361264),Adbert Alzolay,13361264,P,6400,CIN@CHC 09/16/2019 08:05PM ET,CHC,5.99
SP,Miguel Gonzalez (13361265),Miguel Gonzalez,13361265,P,6400,CWS@MIN 09/16/2019 07:40PM ET,CWS,0
SP,Adrian Morejon (13361267),Adrian Morejon,13361267,P,6400,SD@MIL 09/16/2019 07:40PM ET,SD,1.44
SP,Jeremy Hellickson (13361266),Jeremy Hellickson,13361266,P,6400,WAS@STL 09/16/2019 07:45PM ET,WAS,6.77
SP,Kendall Graveman (13361271),Kendall Graveman,13361271,P,6300,CIN@CHC 09/16/2019 08:05PM ET,CHC,0
